n_estimators,max_depth,learning_rate,mean_test_roc_auc,fold_scores
2000,4,0.01,0.9032424171714819,"[0.8886697649994464, 0.9165253417752028, 0.9144747281957857, 0.901852566023811, 0.8946896848631636]"
2000,4,0.03,0.9043309760825646,"[0.8898288275674351, 0.9174459670379089, 0.9150663428932915, 0.9038855342617409, 0.8954282086524463]"
2000,4,0.1,0.9043710848661795,"[0.8899668822222503, 0.9168511562010413, 0.915290888345332, 0.904174031007821, 0.8955724665544527]"
2000,6,0.01,0.8897634116237972,"[0.879653730803479, 0.8789129035387071, 0.9080470747683418, 0.8944661608189652, 0.8877371881894931]"
2000,6,0.03,0.8894876799049163,"[0.8792271248763154, 0.8776077499419476, 0.9086228208899036, 0.8950357401958503, 0.8869449636205644]"
2000,6,0.1,0.8918487334313718,"[0.8889383324344158, 0.8855813338271474, 0.9072699610102456, 0.8914098069459473, 0.8860442329391032]"
2000,8,0.01,0.8551113264156802,"[0.8796057312452539, 0.7505848904643909, 0.8778211368615182, 0.8887859976097725, 0.8787588758974658]"
2000,8,0.03,0.8892612912850835,"[0.8788778977309866, 0.8969667322146092, 0.9010668785470222, 0.8881394243544207, 0.8812555235783782]"
2000,8,0.1,0.8877473339636142,"[0.8801854542718244, 0.8834603875852785, 0.9044699609898358, 0.8888228453169507, 0.8817980216541816]"
