model,roc_auc,pr_auc,precision@0.5,recall@0.5,f1@0.5,f1@best_thresh,brier_score
XGBoost,0.9079333954573876,0.4414195092708484,0.23020376579829765,0.9047136340598074,0.36701963606456256,0.43429919137466305,0.13633139431476593
AdaBoost + Random Forest,0.890337635417235,0.2752725939543556,0.2374815411464626,0.8966041561074506,0.3755041392485672,0.37973887053641653,0.14755486176258006
AdaBoost + Decision Tree,0.8627124903750661,0.24404631341288027,0.22974413646055436,0.8737962493664471,0.3638282156800675,0.4043879331837447,0.14592638137140904
