model,roc_auc,pr_auc,precision@0.5,recall@0.5,f1@0.5,f1@best_thresh,brier_score
XGBoost,0.9073130772047849,0.435316702545874,0.23345540151713315,0.9047136340598074,0.37114045119035244,0.4276911924610366,0.13638757169246674
AdaBoost + Random Forest,0.8945299297410663,0.2884821303273644,0.23805035680624748,0.8960973137354283,0.37617021276595747,0.4186498300145702,0.15197864994867247
AdaBoost + Decision Tree,0.8618219612689096,0.24632231880903627,0.2322237017310253,0.883933096806893,0.367816091954023,0.4088066049537153,0.14468650512465564
