n_estimators,max_depth,learning_rate,mean_test_roc_auc,fold_scores
2000,4,0.01,0.9038442193544265,"[0.8907373465026112, 0.9145161209726962, 0.914765248145239, 0.9052593742795754, 0.8939430068720106]"
2000,4,0.03,0.9043561228787358,"[0.8914058037324696, 0.915252403669509, 0.9149103741810207, 0.9051732279060999, 0.8950388049045802]"
2000,4,0.1,0.9037319346910533,"[0.890620085264941, 0.9129570793247681, 0.9149362817997843, 0.9052493897395657, 0.8948968373262065]"
2000,6,0.01,0.89419848762747,"[0.8834845131225635, 0.9009349693864654, 0.8996008593930898, 0.9003318106315501, 0.8866402856036819]"
2000,6,0.03,0.8955769125926152,"[0.8849772077730225, 0.8980861029543604, 0.9081942928028814, 0.8999255498019645, 0.8867014096308466]"
2000,6,0.1,0.8964440789958908,"[0.8857947768129196, 0.8980802389119631, 0.9078233329499702, 0.9051269008290912, 0.8853951454755096]"
2000,8,0.01,0.8877155442794071,"[0.8844228799854241, 0.9052068140466596, 0.8844956206302101, 0.883171981978143, 0.8812804247565987]"
2000,8,0.03,0.8904082043101562,"[0.885482577289515, 0.9076653468897061, 0.8825449721054927, 0.89427580080914, 0.8820723244569268]"
2000,8,0.1,0.8925894544186986,"[0.8843064922417118, 0.9064877619345755, 0.8948063298984075, 0.894964763785693, 0.8823819242331054]"
